rank,name,genre,country,formed,split,fans,band_link,img_link
1,Iron Maiden,"new wave of british heavy, heavy",United Kingdom,1975,-,4870,band.php?band_id=60,../images/bands/60.jpg
2,Opeth,"extreme progressive, progressive rock, progressive",Sweden,1990,-,4741,band.php?band_id=13,../images/bands/13.jpg
3,Metallica,"heavy, bay area thrash",USA,1981,-,4264,band.php?band_id=176,../images/bands/176.jpg
4,Megadeth,"thrash, heavy, hard rock",USA,1983,-,3542,band.php?band_id=163,../images/bands/163.jpg
5,Amon Amarth,melodic death,Sweden,1988,-,3395,band.php?band_id=25,../images/bands/25.jpg
6,Slayer,thrash,USA,1981,-,3371,band.php?band_id=183,../images/bands/183.jpg
7,Death,"progressive death, death, progressive thrash",USA,1983,2001,3284,band.php?band_id=83,../images/bands/83.jpg
8,Black Sabbath,"doom, heavy, hard rock",United Kingdom,1968,2017,2759,band.php?band_id=52,../images/bands/52.jpg
9,Dream Theater,progressive,USA,1985,-,2669,band.php?band_id=92,../images/bands/92.jpg
10,Judas Priest,"heavy, hard rock",United Kingdom,1969,-,2542,band.php?band_id=78,../images/bands/78.jpg
11,Nightwish,"symphonic power, symphonic",Finland,1996,-,2462,band.php?band_id=1,../images/bands/1.jpg
12,Children Of Bodom,extreme power,Finland,1993,2019,2393,band.php?band_id=72,../images/bands/72.jpg
13,Blind Guardian,"power, speed",Germany,1984,-,2285,band.php?band_id=53,../images/bands/53.jpg
14,Dark Tranquillity,gothenburg,Sweden,1989,-,2207,band.php?band_id=80,../images/bands/80.jpg
15,Agalloch,"atmospheric black, neofolk",USA,1995,2016,2192,band.php?band_id=296,../images/bands/296.jpg
16,Pantera,"heavy, groove thrash, groove metal",USA,1981,2003,2172,band.php?band_id=58,../images/bands/58.jpg
17,In Flames,"gothenburg, alternative",Sweden,1990,-,2132,band.php?band_id=61,../images/bands/61.jpg
18,Ensiferum,extreme folk,Finland,1995,-,2028,band.php?band_id=95,../images/bands/95.jpg
19,Katatonia,"blackened doom, death doom, alternative rock, gothic doom",Sweden,1991,-,2024,band.php?band_id=137,../images/bands/137.jpg
20,Behemoth,"black, blackened death",Poland,1991,-,2006,band.php?band_id=50,../images/bands/50.jpg
21,Kreator,teutonic thrash,Germany,1982,-,1967,band.php?band_id=142,../images/bands/142.jpg
22,Arch Enemy,gothenburg,Sweden,1996,-,1963,band.php?band_id=42,../images/bands/42.jpg
23,Insomnium,melodic death,Finland,1997,-,1916,band.php?band_id=384,../images/bands/384.jpg
24,Dimmu Borgir,"symphonic black, black",Norway,1993,-,1915,band.php?band_id=86,../images/bands/86.jpg
25,Amorphis,"death, melodic death, folk, progressive",Finland,1990,-,1904,band.php?band_id=26,../images/bands/26.jpg
